,PassengerId,Name,Title,Sex,Age,AgeCategory,FamilyMembers,Pclass,Ticket,Fare,Embarked,C,Q,S,Survived
0,1,"Braund, Mr. Owen Harris",Mr,1,22.0,Teenager,1,3,A/5 21171,7.25,S,0.0,0.0,1.0,0
1,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mrs,0,38.0,Adult,1,1,PC 17599,71.2833,C,1.0,0.0,0.0,1
2,3,"Heikkinen, Miss. Laina",Miss,0,26.0,Youngadult,0,3,STON/O2. 3101282,7.925,S,0.0,0.0,1.0,1
3,4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mrs,0,35.0,Youngadult,1,1,113803,53.1,S,0.0,0.0,1.0,1
4,5,"Allen, Mr. William Henry",Mr,1,35.0,Youngadult,0,3,373450,8.05,S,0.0,0.0,1.0,0
5,6,"Moran, Mr. James",Mr,1,28.0,Youngadult,0,3,330877,8.4583,Q,0.0,1.0,0.0,0
6,7,"McCarthy, Mr. Timothy J",Mr,1,54.0,Adult,0,1,17463,51.8625,S,0.0,0.0,1.0,0
7,8,"Palsson, Master. Gosta Leonard",Master,1,2.0,Child,4,3,349909,21.075,S,0.0,0.0,1.0,0
8,9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Mrs,0,27.0,Youngadult,2,3,347742,11.1333,S,0.0,0.0,1.0,1
9,10,"Nasser, Mrs. Nicholas (Adele Achem)",Mrs,0,14.0,Teenager,1,2,237736,30.0708,C,1.0,0.0,0.0,1
10,11,"Sandstrom, Miss. Marguerite Rut",Miss,0,4.0,Child,2,3,PP 9549,16.7,S,0.0,0.0,1.0,1
11,12,"Bonnell, Miss. Elizabeth",Miss,0,58.0,Adult,0,1,113783,26.55,S,0.0,0.0,1.0,1
12,13,"Saundercock, Mr. William Henry",Mr,1,20.0,Teenager,0,3,A/5. 2151,8.05,S,0.0,0.0,1.0,0
13,14,"Andersson, Mr. Anders Johan",Mr,1,39.0,Adult,6,3,347082,31.275,S,0.0,0.0,1.0,0
14,15,"Vestrom, Miss. Hulda Amanda Adolfina",Miss,0,14.0,Teenager,0,3,350406,7.8542,S,0.0,0.0,1.0,0
15,16,"Hewlett, Mrs. (Mary D Kingcome) ",Mrs,0,55.0,Adult,0,2,248706,16.0,S,0.0,0.0,1.0,1
16,17,"Rice, Master. Eugene",Master,1,2.0,Child,5,3,382652,29.125,Q,0.0,1.0,0.0,0
17,18,"Williams, Mr. Charles Eugene",Mr,1,28.0,Youngadult,0,2,244373,13.0,S,0.0,0.0,1.0,1
18,19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Mrs,0,31.0,Youngadult,1,3,345763,18.0,S,0.0,0.0,1.0,0
19,20,"Masselmani, Mrs. Fatima",Mrs,0,28.0,Youngadult,0,3,2649,7.225,C,1.0,0.0,0.0,1
20,21,"Fynney, Mr. Joseph J",Mr,1,35.0,Youngadult,0,2,239865,26.0,S,0.0,0.0,1.0,0
21,22,"Beesley, Mr. Lawrence",Mr,1,34.0,Youngadult,0,2,248698,13.0,S,0.0,0.0,1.0,1
22,23,"McGowan, Miss. Anna ""Annie""",Miss,0,15.0,Teenager,0,3,330923,8.0292,Q,0.0,1.0,0.0,1
23,24,"Sloper, Mr. William Thompson",Mr,1,28.0,Youngadult,0,1,113788,35.5,S,0.0,0.0,1.0,1
24,25,"Palsson, Miss. Torborg Danira",Miss,0,8.0,Child,4,3,349909,21.075,S,0.0,0.0,1.0,0
25,26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Mrs,0,38.0,Adult,6,3,347077,31.3875,S,0.0,0.0,1.0,1
26,27,"Emir, Mr. Farred Chehab",Mr,1,28.0,Youngadult,0,3,2631,7.225,C,1.0,0.0,0.0,0
27,28,"Fortune, Mr. Charles Alexander",Mr,1,19.0,Teenager,5,1,19950,263.0,S,0.0,0.0,1.0,0
28,29,"O'Dwyer, Miss. Ellen ""Nellie""",Miss,0,28.0,Youngadult,0,3,330959,7.8792,Q,0.0,1.0,0.0,1
29,30,"Todoroff, Mr. Lalio",Mr,1,28.0,Youngadult,0,3,349216,7.8958,S,0.0,0.0,1.0,0
30,31,"Uruchurtu, Don. Manuel E",Royalty,1,40.0,Adult,0,1,PC 17601,27.7208,C,1.0,0.0,0.0,0
31,32,"Spencer, Mrs. William Augustus (Marie Eugenie)",Mrs,0,28.0,Youngadult,1,1,PC 17569,146.5208,C,1.0,0.0,0.0,1
32,33,"Glynn, Miss. Mary Agatha",Miss,0,28.0,Youngadult,0,3,335677,7.75,Q,0.0,1.0,0.0,1
33,34,"Wheadon, Mr. Edward H",Mr,1,66.0,Elderly,0,2,C.A. 24579,10.5,S,0.0,0.0,1.0,0
34,35,"Meyer, Mr. Edgar Joseph",Mr,1,28.0,Youngadult,1,1,PC 17604,82.1708,C,1.0,0.0,0.0,0
35,36,"Holverson, Mr. Alexander Oskar",Mr,1,42.0,Adult,1,1,113789,52.0,S,0.0,0.0,1.0,0
36,37,"Mamee, Mr. Hanna",Mr,1,28.0,Youngadult,0,3,2677,7.2292,C,1.0,0.0,0.0,1
37,38,"Cann, Mr. Ernest Charles",Mr,1,21.0,Teenager,0,3,A./5. 2152,8.05,S,0.0,0.0,1.0,0
38,39,"Vander Planke, Miss. Augusta Maria",Miss,0,18.0,Teenager,2,3,345764,18.0,S,0.0,0.0,1.0,0
39,40,"Nicola-Yarred, Miss. Jamila",Miss,0,14.0,Teenager,1,3,2651,11.2417,C,1.0,0.0,0.0,1
40,41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Mrs,0,40.0,Adult,1,3,7546,9.475,S,0.0,0.0,1.0,0
41,42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Mrs,0,27.0,Youngadult,1,2,11668,21.0,S,0.0,0.0,1.0,0
42,43,"Kraeff, Mr. Theodor",Mr,1,28.0,Youngadult,0,3,349253,7.8958,C,1.0,0.0,0.0,0
43,44,"Laroche, Miss. Simonne Marie Anne Andree",Miss,0,3.0,Child,3,2,SC/Paris 2123,41.5792,C,1.0,0.0,0.0,1
44,45,"Devaney, Miss. Margaret Delia",Miss,0,19.0,Teenager,0,3,330958,7.8792,Q,0.0,1.0,0.0,1
45,46,"Rogers, Mr. William John",Mr,1,28.0,Youngadult,0,3,S.C./A.4. 23567,8.05,S,0.0,0.0,1.0,0
46,47,"Lennon, Mr. Denis",Mr,1,28.0,Youngadult,1,3,370371,15.5,Q,0.0,1.0,0.0,0
47,48,"O'Driscoll, Miss. Bridget",Miss,0,28.0,Youngadult,0,3,14311,7.75,Q,0.0,1.0,0.0,1
48,49,"Samaan, Mr. Youssef",Mr,1,28.0,Youngadult,2,3,2662,21.6792,C,1.0,0.0,0.0,0
49,50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Mrs,0,18.0,Teenager,1,3,349237,17.8,S,0.0,0.0,1.0,0
50,51,"Panula, Master. Juha Niilo",Master,1,7.0,Child,5,3,3101295,39.6875,S,0.0,0.0,1.0,0
51,52,"Nosworthy, Mr. Richard Cater",Mr,1,21.0,Teenager,0,3,A/4. 39886,7.8,S,0.0,0.0,1.0,0
52,53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mrs,0,49.0,Adult,1,1,PC 17572,76.7292,C,1.0,0.0,0.0,1
53,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Mrs,0,29.0,Youngadult,1,2,2926,26.0,S,0.0,0.0,1.0,1
